StudenttID,Gender,attend class,study,Result
1,Female,0,1,1
2,Male,1,0,0
3,Female,1,1,1
4,Male,0,0,0
5,Female,1,0,0
6,Female,0,1,1
7,Male,1,1,1
8,Female,0,0,0
9,Male,1,0,0
10,Female,1,1,1
11,Male,0,0,0
12,Female,0,1,1
13,Male,1,1,1
14,Female,1,0,0
15,Male,0,1,1
16,Female,1,0,0
17,Male,0,1,1
18,Female,1,0,0
19,Male,1,1,1
20,Female,0,1,1
21,Male,1,0,0
22,Female,0,1,1
23,Male,1,1,1
24,Female,1,0,0
25,Male,0,1,1
26,Female,1,0,0
27,Male,1,1,1
28,Female,0,1,1
29,Male,1,0,0
30,Female,0,1,1
31,Male,1,0,0
32,Female,0,1,1
33,Male,0,1,1
34,Female,1,0,0
35,Male,1,1,1
36,Female,0,0,0
37,Male,1,1,1
38,Female,1,0,0
39,Male,1,1,1
40,Female,0,1,1
41,Male,1,0,0
42,Female,0,1,1
43,Male,1,1,1
44,Female,0,1,1
45,Male,1,1,1
46,Female,0,0,0
47,Male,0,1,1
48,Female,1,0,0
49,Male,1,0,0
50,Female,0,1,1
